investor_name,investor_permalink,country_code,state_code,region,city,investment_count,funding_round_types,num_portfolio_companies
Perkins Coie,/organization/perkins-coie,USA,AK,Anchorage,Anchorage,4,venture,1
Arrowpoint Partners,/organization/arrowpoint-partners,USA,CO,Denver,Denver,4,venture,4
Powerhouse Ventures,/organization/powerhouse-ventures,NZL,E9,Christchurch,Christchurch,4,seed|venture,4
MTS Health Investors,/organization/mts-health-investors,USA,NY,New York City,New York,4,seed|undisclosed|venture,3
Sophia Eurolab,/organization/sophia-eurolab,,,,,4,venture,4
Jeff Stibel,/person/jeff-stibel,,,,,4,venture,4
Barshop Ventures,/organization/barshop-ventures,USA,TX,San Antonio,San Antonio,4,private_equity|venture,2
Ropart Asset Management,/organization/ropart-asset-management,USA,CT,Hartford,Greenwich,4,venture,3
Salt Lake Life Science Angels,/organization/salt-lake-life-science-angels,USA,UT,Salt Lake City,Salt Lake City,4,seed|undisclosed|venture,4
XLHEALTH,/organization/xlhealth,DEU,16,Berlin,Berlin,4,seed|venture,3
Ronnie Screwvala,/person/ronnie-screwvala,,,,,4,seed|venture,3
Vision Capital Advisors,/organization/vision-capital-advisors,USA,NY,New York City,New York,4,venture,4
Scottish Venture Fund,/organization/scottish-venture-fund,GBR,V2,Glasgow,Glasgow,4,undisclosed|venture,4
Atherton Venture Partners,/organization/atherton-venture-partners,USA,CA,SF Bay Area,Menlo Park,4,venture,3
New Wave Ventures,/organization/new-wave-ventures,GBR,H9,London,London,4,seed|undisclosed|venture,4
Dafna Capital Management,/organization/dafna-capital-management,USA,CA,Los Angeles,Los Angeles,4,post_ipo_equity|private_equity|venture,4
Berlin Technologie Holding,/organization/berlin-technologie-holding,,,,,4,seed|undisclosed,2
